"filename", "language", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 5, 13, 73
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 1, 10
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\main.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 6, 58
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\api_response_dto.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\create_dto\mechant_profile_image_create_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\create_dto\menu_item_create_dto.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\create_dto\menu_item_image_create_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\create_dto\menu_item_type_create_dto.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\create_dto\merchant_create_dto.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\login_request_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\login_response_dto.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\menu_item_dto.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\menu_item_image_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\menu_item_type_dto.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\merchant_dto.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\merchant_profile_image_update_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\register_request_dto.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\menu_item_image_update_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\menu_item_type_update_dto.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\menu_item_update_dto.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\merchant_profile_image_update_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\merchant_update_dto.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\Temp\Temp_Code\TKPM\foodtogo_merchants\lib\models\dto\update_dto\user_update_dto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
